Source Node	Target Node	Interaction Type
GNB3	GNGT1	Undirected
GNB3	Gng4	Undirected
Bak1	Bcl2a1a	Undirected
GNAI2	GPSM2	Undirected
TERF1	TINF2	Undirected
PPP5C	HSP90AB1	Undirected
CCR2	CCL8	Undirected
MAP1LC3B	SIRT1	Undirected
RAF1	GNB2	Undirected
RAF1	Ywhaq	Undirected
RAF1	Ywhah	Undirected
RAF1	Ywhaz	Undirected
RAF1	Trp53	Undirected
RAF1	BCL2	Undirected
S100A8	S100A9	Undirected
EXOSC5	DDX17	Undirected
FOS	TBP	Undirected
FOS	JUN	Undirected
FOS	NFATC2	Undirected
APOE	APP	Undirected
Nr0b1	Nanog	Undirected
CCND2	CDKN1B	Undirected
Pak3	RAC1	Undirected
Pak3	CDC42	Undirected
CDC2	CCNA2	Undirected
CDC2	CCNE1	Undirected
CDC2	GADD45A	Undirected
CDC2	CDKN3	Undirected
Snap25	Snap25	Undirected
Snap25	Stx3	Undirected
RAN	AR	Undirected
RAN	NUTF2	Undirected
ARHGAP1	CDC42	Undirected
SUMO3	SENP2	Undirected
IL2RB	IL2	Undirected
IL2RB	IL2RG	Undirected
IL2RB	IL15	Undirected
IL2RB	JAK1	Undirected
ITGA2	ITGB1	Undirected
LYN	SYK	Undirected
TAF12	TBP	Undirected
TAF12	TAF12	Undirected
TAF12	HIST1H4A	Undirected
Gabpa	Gabpb1	Undirected
MAP3K5	MAP3K5	Undirected
Bcl2	Bag1	Undirected
CD9	CD44	Undirected
CD9	SDC1	Undirected
TP53	TP53	Undirected
TP53	NOL3	Undirected
TP53	PPP1R13L	Undirected
SP100	CBX3	Undirected
YWHAE	CDC25A	Undirected
CHMP4B	PDCD6IP	Undirected
CXCL13	Cxcr5	Undirected
CXCL13	CXCR5	Undirected
RNH1	RNH1	Undirected
NFKBIA	CUL1	Undirected
NFKBIA	SKP1	Undirected
NFKBIA	REL	Undirected
NFKBIA	MCM7	Undirected
NFKBIA	IKBKB	Undirected
NFKBIA	IKBKG	Undirected
NFKBIA	NFKB1	Undirected
NFKBIA	HSPA4	Undirected
IL1R1	Nfkb1	Undirected
IL1R1	IL1B	Undirected
NCF1	NCF2	Undirected
STUB1	RPS27A	Undirected
STUB1	MAPT	Undirected
TRAF2	TRADD	Undirected
TRAF2	MAP3K7IP1	Undirected
TRAF2	TRAF1	Undirected
TRAF2	TANK	Undirected
TRAF2	CD40	Undirected
TRAF2	TBK1	Undirected
EP300	TP53	Undirected
EP300	HIF1A	Undirected
EP300	MDM2	Undirected
FLNA	PSEN1	Undirected
FLNA	DRD3	Undirected
FLNA	DRD2	Undirected
FLNA	CASR	Undirected
SUB1	SUB1	Undirected
SETD7	TAF10	Undirected
CRTC2	NONO	Undirected
HIP1R	HIP1R	Undirected
Crebbp	NCOA2	Undirected
Crebbp	ESR1	Undirected
EPB41L3	ACTB	Undirected
EIF4G1	EIF4G1	Undirected
MAP3K1	FKBP5	Undirected
MAP3K1	RPL4	Undirected
MAP3K1	CDC37	Undirected
MAP3K1	HSP90AA1	Undirected
PGF	PGF	Undirected
EPHA2	EFNA1	Undirected
PIK3R1	PDGFRB	Undirected
PIK3R1	IRS1	Undirected
PIK3R1	IGF1R	Undirected
PIK3R1	INSR	Undirected
CDK6	CDKN2A	Undirected
CDK6	CDKN2D	Undirected
CDK6	RB1	Undirected
CDK6	CDKN1B	Undirected
SYK	PLCG1	Undirected
SYK	RPS6KA2	Undirected
Rhoa	Rtkn	Undirected
DGCR8	DGCR8	Undirected
PPP3CA	PPP3R1	Undirected
PPP1CC	PPP1R2	Undirected
SPI1	SSRP1	Undirected
SPI1	TBP	Undirected
SPI1	RB1	Undirected
SPI1	CEBPD	Undirected
Adcy2	Gnb4	Undirected
JUNB	Stat3	Undirected
F2	SERPINA5	Undirected
F2	F2R	Undirected
PPP2CA	PPP2R1A	Undirected
Cish	Csf2rb2	Undirected
Cish	Epor	Undirected
IL6R	IL6	Undirected
GATA2	SPI1	Undirected
GATA2	HDAC1	Undirected
BRCA1	CCDC98	Undirected
BRCA1	UIMC1	Undirected
BRCA1	BARD1	Undirected
BRCA1	JUNB	Undirected
BRCA1	BRCA1	Undirected
BRCA1	JUN	Undirected
BRCA1	TOPBP1	Undirected
BRCA1	AR	Undirected
BRCA1	MYC	Undirected
BRCA1	LDB2	Undirected
25336	Nfya	Undirected
KRT18	KRT8	Undirected
KRT18	DSP	Undirected
KRT18	Vim	Undirected
ORC1L	HMGA1	Undirected
Stat5a	Ghr	Undirected
ITCH	ERBB4	Undirected
PIAS3	ESR2	Undirected
SNRP70	PPM1G	Undirected
JAK3	IL2RG	Undirected
FGF1	FGFR4	Undirected
FGF1	FGFR3	Undirected
PRKAR2A	PRKAR2A	Undirected
PRKAR2A	AKAP5	Undirected
PRKAR2A	AKAP13	Undirected
CCNB1	CDC2	Undirected
Gadd45g	Gadd45g	Undirected
PLCG1	PDGFRB	Undirected
PLCG1	HNRNPU	Undirected
NR3C1	Hmgb1	Undirected
NR3C1	UBE3A	Undirected
GTF2F1	GTF2B	Undirected
GTF2F1	SRF	Undirected
GTF2F1	AR	Undirected
USP7	TP53	Undirected
FLT1	PGF	Undirected
TAF11	TBP	Undirected
TAF11	TAF12	Undirected
TAF11	TAF13	Undirected
HSPB1	F13A1	Undirected
GRB2	CBL	Undirected
GRB2	PDGFRB	Undirected
GRB2	LAT	Undirected
BIK	BCL2	Undirected
Rdx	Icam2	Undirected
Rdx	SLC9A3R1	Undirected
Rdx	Cd44	Undirected
Rdx	Icam1	Undirected
Shc1	GRB2	Undirected
LTA	LTBR	Undirected
LTA	LTA	Undirected
LTA	TNFRSF1B	Undirected
REL	NFKB2	Undirected
REL	MAP3K8	Undirected
REL	PAPOLA	Undirected
REL	NFKB1	Undirected
REL	RELA	Undirected
REL	NFKBIB	Undirected
Pick1	Prkca	Undirected
FKBP1A	TGFBR1	Undirected
GHR	GH1	Undirected
GNB2	GNGT1	Undirected
GNB2	Gng4	Undirected
APP	ACHE	Undirected
APP	APP	Undirected
CCR1	CCL7	Undirected
CCR1	CCL4	Undirected
CCR1	CCL2	Undirected
CCR1	CCL8	Undirected
CCR1	CCL16	Undirected
CCR1	CCL1	Undirected
CCR1	CCL15	Undirected
Gnai2	ADCY2	Undirected
TF	TFRC	Undirected
IL4	IL4R	Undirected
IGF1R	Irs1	Undirected
IGF1R	IGF1	Undirected
Il6st	Socs3	Undirected
Il6st	Il11	Undirected
Il6st	Osm	Undirected
ACVR2A	ACVR2A	Undirected
ACVR2A	ACVRL1	Undirected
ACVR2A	INHBA	Undirected
KDR	KDR	Undirected
SF3A1	SF3A3	Undirected
TNFRSF1A	TNF	Undirected
TNFRSF1A	TRADD	Undirected
TNFRSF1A	LTA	Undirected
TNFRSF1A	TNFRSF1A	Undirected
TNFRSF1A	Traf2	Undirected
TP53BP1	NR3C1	Undirected
BAK1	BCL2L1	Undirected
BAK1	MCL1	Undirected
BAK1	Gimap5	Undirected
Khdrbs1	Plcg1	Undirected
Khdrbs1	Grb2	Undirected
CSNK2A2	CSNK2B	Undirected
Cdh1	Lima1	Undirected
KRT5	DSP	Undirected
Ncoa2	BRCA1	Undirected
MAPK10	JUN	Undirected
YBX1	PPM1G	Undirected
Bcl2a1a	Bid	Undirected
Bcl2a1a	Bbc3	Undirected
APOA1	APOA1	Undirected
Prnp	Bcl2	Undirected
ICAM2	ITGB2	Undirected
MXD1	AKT1	Undirected
MXD1	RPS6KA1	Undirected
MXD1	RPS6KB1	Undirected
INS	INSR	Undirected
INS	INS	Undirected
CDH1	PTPRM	Undirected
BCKDHA	BCKDHB	Undirected
CSNK2A1	CSNK2B	Undirected
IL8	IL8RA	Undirected
IL8	DARC	Undirected
IL4R	IL13	Undirected
FAS	FASLG	Undirected
FAS	DAXX	Undirected
BMP7	Bmpr1b	Undirected
BMP7	BMPR2	Undirected
CXCL1	IL8RA	Undirected
NOTCH1	MAML1	Undirected
NOTCH1	HIF1A	Undirected
IGF2R	IGF2	Undirected
ATF1	BRCA1	Undirected
CKS1B	CDC2	Undirected
CKS1B	CDK3	Undirected
Junb	Fos	Undirected
NCOA2	AR	Undirected
ASF1B	CHAF1B	Undirected
ESR2	PIAS1	Undirected
ESR2	ZBTB17	Undirected
CSF2RB	IL5	Undirected
PTPN11	IGF1R	Undirected
PTPN11	IL6ST	Undirected
PTPN11	INSR	Undirected
GAP43	CALM2	Undirected
TAF1	TBP	Undirected
Vcp	Vcp	Undirected
ORC5L	ORC6L	Undirected
CXCL12	CCR4	Undirected
Fyn	Khdrbs1	Undirected
UBE2L3	UBE3A	Undirected
IL8RA	CXCL5	Undirected
Stx4a	Snap25	Undirected
JUN	AR	Undirected
JUN	MAPK9	Undirected
JUN	MAPK8	Undirected
JUN	ATF4	Undirected
Id2	TCF3	Undirected
YWHAB	RAF1	Undirected
YWHAB	MAP3K3	Undirected
RAD51	RAD51	Undirected
RAD51	UBE2I	Undirected
ZBTB17	PGR	Undirected
CCL2	CCR2	Undirected
GSTM2	CDK2	Undirected
CREBBP	GATA2	Undirected
CREBBP	MYBL1	Undirected
CREBBP	RUVBL1	Undirected
CREBBP	SREBF1	Undirected
MYST2	PLK1	Undirected
MMP9	MMP9	Undirected
IL1B	CASP1	Undirected
Nr3c1	Fos	Undirected
PDGFB	PDGFRB	Undirected
PDGFB	PDGFB	Undirected
UBE2I	ETV6	Undirected
UBE2I	RAD52	Undirected
EPOR	EPO	Undirected
TAF9	GCN5L2	Undirected
TAF9	MAX	Undirected
TAF9	TP53	Undirected
CALM2	ACTN2	Undirected
NR1H4	NCOA1	Undirected
IFNB1	IFNAR1	Undirected
Ccnd1	Cdk4	Undirected
Ccnd1	Hspa8	Undirected
Ccnd1	Cdk2	Undirected
Ccnd1	Cdkn1a	Undirected
CGA	CGB	Undirected
Diap1	Diap1	Undirected
BMP2	ACVR2A	Undirected
BMP2	BMP2	Undirected
BMP2	BMPR2	Undirected
ANG	RNH1	Undirected
CDK5	CDK7	Undirected
CRK	CBL	Undirected
CCL5	CCR1	Undirected
CCL5	CXCR5	Undirected
CCL5	CCR5	Undirected
YWHAZ	RAF1	Undirected
EIF2C2	TNRC6B	Undirected
EIF2C2	DDX6	Undirected
SENP1	SUMO1	Undirected
SENP1	SUMO2	Undirected
Sos1	GRB2	Undirected
Ywhah	BRAF	Undirected
Grb2	Ephb1	Undirected
CDK2	CKS1B	Undirected
CDK2	CDK7	Undirected
CDK2	LIG1	Undirected
CDK2	CDKN1A	Undirected
CDK2	CDKN3	Undirected
CDK2	CDKN1B	Undirected
Fos	Atf4	Undirected
Fos	Tdg	Undirected
ORC4L	ORC6L	Undirected
HRAS	CDC25B	Undirected
HRAS	RASA1	Undirected
HRAS	RAF1	Undirected
HRAS	BRAF	Undirected
HRAS	CDC25A	Undirected
HRAS	RIN1	Undirected
HRAS	Rassf5	Undirected
TTR	APP	Undirected
Bad	BCL2L1	Undirected
GH1	PRLR	Undirected
AMD1	AMD1	Undirected
FADD	TRADD	Undirected
FADD	TNFRSF1A	Undirected
FADD	CFLAR	Undirected
NTF3	BDNF	Undirected
NTF3	NTRK3	Undirected
EIF2C1	EIF2C2	Undirected
EIF2C1	TNRC6B	Undirected
BCL2L1	Bcl2l11	Undirected
BCL2L1	BCL2L1	Undirected
BCL2L1	BAX	Undirected
BCL2L1	MCL1	Undirected
BCL2L1	BBC3	Undirected
BCL2L1	Gimap3	Undirected
ACTB	ACTB	Undirected
MAP2K2	Mapk1	Undirected
TFRC	HFE	Undirected
CDK7	CDC2	Undirected
CDK7	POLR2A	Undirected
CDK7	SUPT5H	Undirected
CDK7	CDC2L6	Undirected
EGFR	EGF	Undirected
EGFR	BTC	Undirected
EGFR	Egf	Undirected
EGFR	TGFA	Undirected
BAX	BCL2	Undirected
BAX	Gimap5	Undirected
MYOG	TCF3	Undirected
Ccr9	Ccl25	Undirected
IL10	IL10RA	Undirected
IL10	IL10RB	Undirected
ETFA	ETFB	Undirected
CCL21	CCRL1	Undirected
CCL21	CCR7	Undirected
TGFB2	TGFBR3	Undirected
TGFB2	TGFBR1	Undirected
NRAS	RAF1	Undirected
EIF2AK2	EIF2AK2	Undirected
UTRN	SNTB1	Undirected
UTRN	SNTA1	Undirected
BDNF	Ntrk1	Undirected
Bdnf	Ntrk2	Undirected
CSNK2B	CSNK2B	Undirected
Gnao1	Rgs16	Undirected
NFKB1	NFKB1	Undirected
FBXW11	NFKBIA	Undirected
FBXW11	NFKBIE	Undirected
FBXW11	NFKBIB	Undirected
IFNAR2	IFNB1	Undirected
IFNAR2	IFNA8	Undirected
IFNAR2	IFNA2	Undirected
IFNAR2	IFNAR1	Undirected
SMARCB1	RELB	Undirected
PSMC1	TRAF6	Undirected
JUND	BRCA1	Undirected
JUND	Stat3	Undirected
JUND	MEN1	Undirected
IKBKAP	NFKBIA	Undirected
Ccl25	CCRL1	Undirected
Ccl25	CCR9	Undirected
HDAC1	RB1	Undirected
IL16	CD4	Undirected
Ntrk2	Ntf3	Undirected
ADA	DPP4	Undirected
Gnb5	Gng4	Undirected
CDAN1	PCNA	Undirected
CDAN1	GADD45G	Undirected
TXN	APEX1	Undirected
E2F1	BRCA1	Undirected
E2F1	NFKB1	Undirected
E2F1	HDAC1	Undirected
E2F1	TOPBP1	Undirected
E2F1	TFDP1	Undirected
E2F1	TFDP2	Undirected
CBX3	LBR	Undirected
Hspa8	Cdk4	Undirected
Hspa8	Cdkn1a	Undirected
TAF5L	MAX	Undirected
PTGS2	CAV1	Undirected
ETV6	SUMO1	Undirected
MED1	MED1	Undirected
