 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	UCHL1          	PI4KAP2        	                  	Directed        	      	         	          	
 	FAM59B         	INPPL1         	                  	Directed        	      	         	          	
 	FAM59B         	COL5A3         	                  	Directed        	      	         	          	
 	FAM59B         	FZD9           	                  	Directed        	      	         	          	
 	FAM59B         	HSG00251797    	                  	Directed        	      	         	          	
 	FAM59B         	SALL3          	                  	Directed        	      	         	          	
 	FAM59B         	PSD2           	                  	Directed        	      	         	          	
 	FAM59B         	ANKRD9         	                  	Directed        	      	         	          	
 	FAM59B         	KCNJ10         	                  	Directed        	      	         	          	
 	FAM59B         	A2ML1          	                  	Directed        	      	         	          	
 	FAM59B         	EZR            	                  	Directed        	      	         	          	
 	SLC9A9         	PPAPDC1A       	                  	Directed        	      	         	          	
 	SLC9A9         	PIR            	                  	Directed        	      	         	          	
 	SLC9A9         	AF131813       	                  	Directed        	      	         	          	
 	HSG00204976    	Contig15746_RC 	                  	Directed        	      	         	          	
 	SIRT4          	AJAP1          	                  	Directed        	      	         	          	
 	SIRT4          	U79293         	                  	Directed        	      	         	          	
 	SIRT4          	Contig29699    	                  	Directed        	      	         	          	
 	SIRT4          	AK026119       	                  	Directed        	      	         	          	
 	EYA1           	FLRT2          	                  	Directed        	      	         	          	
 	646113         	PUM2           	                  	Directed        	      	         	          	
 	DNM1           	SV2A           	                  	Directed        	      	         	          	
 	DNM1           	RAP1GAP        	                  	Directed        	      	         	          	
 	DNM1           	EPB49          	                  	Directed        	      	         	          	
 	BC037932       	LGR5           	                  	Directed        	      	         	          	
 	BC037932       	AK094909       	                  	Directed        	      	         	          	
 	BC037932       	HSG00454603    	                  	Directed        	      	         	          	
 	WAS            	RUNX1          	                  	Directed        	      	         	          	
 	UNC13C         	RAPGEF4        	                  	Directed        	      	         	          	
 	UNC13C         	DDN            	                  	Directed        	      	         	          	
 	Contig48481    	SC5DL          	                  	Directed        	      	         	          	
 	Contig48481    	C7orf16        	                  	Directed        	      	         	          	
 	XM_167124      	HLA-B          	                  	Directed        	      	         	          	
 	XM_167124      	HLA-DRB6       	                  	Directed        	      	         	          	
 	XM_167124      	BTN3A2         	                  	Directed        	      	         	          	
 	THY1           	C13orf16       	                  	Directed        	      	         	          	
 	THY1           	EEF1A2         	                  	Directed        	      	         	          	
 	GNAI1          	RAB33A         	                  	Directed        	      	         	          	
 	GNAI1          	RAPGEF5        	                  	Directed        	      	         	          	
 	GNAI1          	SQLE           	                  	Directed        	      	         	          	
 	GNAI1          	PLCL1          	                  	Directed        	      	         	          	
 	GNAI1          	PDE1C          	                  	Directed        	      	         	          	
 	GNAI1          	HSS00257342    	                  	Directed        	      	         	          	
 	GNAI1          	TMEFF2         	                  	Directed        	      	         	          	
 	GNAI1          	54842          	                  	Directed        	      	         	          	
 	ANKRD39        	MECR           	                  	Directed        	      	         	          	
 	ANKRD39        	NME1           	                  	Directed        	      	         	          	
 	ANKRD39        	AKR1C3         	                  	Directed        	      	         	          	
 	ANKRD39        	LIN7B          	                  	Directed        	      	         	          	
 	ANKRD39        	hCT2283221     	                  	Directed        	      	         	          	
 	RCAN2          	MAP1B          	                  	Directed        	      	         	          	
 	RCAN2          	MAGEL2         	                  	Directed        	      	         	          	
 	XM_166897      	NR1I3          	                  	Directed        	      	         	          	
 	XM_166897      	XM_210345      	                  	Directed        	      	         	          	
 	KIRREL         	LRRC8C         	                  	Directed        	      	         	          	
 	646999         	SMCR3          	                  	Directed        	      	         	          	
 	646999         	TEKT3          	                  	Directed        	      	         	          	
 	646999         	Contig32322_RC 	                  	Directed        	      	         	          	
 	646999         	AK090760       	                  	Directed        	      	         	          	
 	646999         	AMZ1           	                  	Directed        	      	         	          	
 	646999         	NIT2           	                  	Directed        	      	         	          	
 	646999         	AK024962       	                  	Directed        	      	         	          	
 	646999         	AF070565       	                  	Directed        	      	         	          	
 	646999         	AK055022       	                  	Directed        	      	         	          	
 	646999         	HSS00245321    	                  	Directed        	      	         	          	
 	646999         	NSFL1C         	                  	Directed        	      	         	          	
 	646999         	BC030099       	                  	Directed        	      	         	          	
 	646999         	HSS00104556    	                  	Directed        	      	         	          	
 	646999         	TTC32          	                  	Directed        	      	         	          	
 	646999         	440993         	                  	Directed        	      	         	          	
 	646999         	Contig45834_RC 	                  	Directed        	      	         	          	
 	646999         	C10orf111      	                  	Directed        	      	         	          	
 	646999         	C14orf149      	                  	Directed        	      	         	          	
 	646999         	HSS00020342    	                  	Directed        	      	         	          	
 	285835         	D83543         	                  	Directed        	      	         	          	
 	GUCY1B3        	PIK3CB         	                  	Directed        	      	         	          	
 	GUCY1B3        	QPCT           	                  	Directed        	      	         	          	
 	GUCY1B3        	FBXO9          	                  	Directed        	      	         	          	
 	GUCY1B3        	PID1           	                  	Directed        	      	         	          	
 	GUCY1B3        	hCT2327428     	                  	Directed        	      	         	          	
 	GUCY1B3        	HSG00411081    	                  	Directed        	      	         	          	
 	GUCY1B3        	DRD1           	                  	Directed        	      	         	          	
 	GUCY1B3        	AMN1           	                  	Directed        	      	         	          	
 	GUCY1B3        	646014         	                  	Directed        	      	         	          	
 	GUCY1B3        	AKT3           	                  	Directed        	      	         	          	
 	Contig26975_RC 	54984          	                  	Directed        	      	         	          	
 	NAV3           	KLHDC5         	                  	Directed        	      	         	          	
 	AK055794       	ABHD12B        	                  	Directed        	      	         	          	
 	HSG00518061    	TMEM35         	                  	Directed        	      	         	          	
 	MAP7           	TMC7           	                  	Directed        	      	         	          	
 	MAP7           	SPOCK3         	                  	Directed        	      	         	          	
 	MAP7           	KLHL32         	                  	Directed        	      	         	          	
 	MAP7           	FGF1           	                  	Directed        	      	         	          	
 	AL832976       	401286         	                  	Directed        	      	         	          	
 	MRPS30         	AK093006       	                  	Directed        	      	         	          	
 	MRPS30         	hCT2328745     	                  	Directed        	      	         	          	
 	TMEM132D       	HS6ST3         	                  	Directed        	      	         	          	
 	TMEM132D       	ABHD7          	                  	Directed        	      	         	          	
 	TMEM132D       	ORC6L          	                  	Directed        	      	         	          	
 	TMEM132D       	CCRK           	                  	Directed        	      	         	          	
