Source Node	Target Node	Interaction Type
NCOA3	GSK3B	Undirected
NCOA3	CREBBP	Undirected
Ard1	Narg1	Undirected
FOSL2	FOS	Undirected
FOSL2	MAFB	Undirected
RGS6	DMAP1	Undirected
GM2A	GM2A	Undirected
Prkrip1	EIF2AK2	Undirected
PTMA	PHB2	Undirected
RAB2A	RAB2A	Undirected
HLA-E	HLA-E	Undirected
CREB3	MAFK	Undirected
CREB3	CREB3	Undirected
CREB3	CREB3L3	Undirected
CREB3	NFIL3	Undirected
CREB3	CREB3L4	Undirected
SCO1	SCO1	Undirected
FOSB	MAFB	Undirected
FOSB	ATF4	Undirected
Sgk3	Sgk3	Undirected
UBE2L6	UBE3A	Undirected
SPR	SPR	Undirected
UHRF2	UHRF2	Undirected
SMG7	SMG7	Undirected
ZNF512B	VPS41	Undirected
ZNF512B	KLF10	Undirected
ZNF512B	HTATSF1	Undirected
ZNF512B	SDF4	Undirected
ZNF512B	MYH10	Undirected
ZNF512B	PTPRF	Undirected
ZNF512B	CTBP2	Undirected
ZNF512B	SPTBN1	Undirected
ZNF512B	PAPPA2	Undirected
ZNF512B	PPP1R15A	Undirected
ZNF512B	BRD1	Undirected
ZNF512B	TRAF4	Undirected
ZNF512B	FBXL11	Undirected
ZNF512B	APLP2	Undirected
ZNF512B	PTPN3	Undirected
ZNF512B	LAMB2	Undirected
ZNF512B	YES1	Undirected
ZNF512B	EHMT2	Undirected
ZNF512B	IL1F5	Undirected
ZNF512B	JMJD1B	Undirected
ZNF512B	ZMYM2	Undirected
ZNF512B	TNKS2	Undirected
ZNF512B	TGM2	Undirected
ZNF512B	SUPT5H	Undirected
ZNF512B	RNASEN	Undirected
ZNF512B	PDE4DIP	Undirected
ZNF512B	TOX4	Undirected
ZNF512B	PLCG2	Undirected
ZNF512B	LZTS2	Undirected
ZNF512B	FAM129B	Undirected
ZNF512B	PIAS4	Undirected
ZNF512B	PEG10	Undirected
ZNF512B	ANKLE2	Undirected
ZNF512B	L1TD1	Undirected
ZNF512B	BTBD2	Undirected
ZNF512B	PBRM1	Undirected
ZNF512B	XPC	Undirected
ZNF512B	10956	Undirected
ZNF512B	9757	Undirected
ZNF512B	RPS27A	Undirected
ZNF512B	SMAD1	Undirected
ZNF512B	DVL3	Undirected
ZNF512B	DCTN1	Undirected
ZNF512B	VHL	Undirected
ZNF512B	XRCC6	Undirected
ZNF512B	TOM1	Undirected
ZNF512B	CDC123	Undirected
ZNF512B	DDX27	Undirected
ZNF512B	VPS35	Undirected
ZNF512B	HEYL	Undirected
ZNF512B	MBD1	Undirected
ZNF512B	ATRX	Undirected
Robo4	SLIT2	Undirected
Litaf	Nedd4	Undirected
CES1	CES1	Undirected
Six6	Tle4	Undirected
Arl6ip6	Arl6	Undirected
ICAM3	ITGAL	Undirected
Hnrnpm	Tnf	Undirected
Rnf11	Nedd4	Undirected
Sh3gl2	Amph	Undirected
Sh3gl2	Dnm1	Undirected
Sh3gl2	Sh3gl2	Undirected
Sh3gl2	Bin1	Undirected
Sh3gl2	Synj1	Undirected
DIRAS2	DIRAS2	Undirected
PRMT1	TP53	Undirected
NEDD8	SENP8	Undirected
Dnm2	Shank2	Undirected
Nrcam	Ank2	Undirected
NR1I3	NR1I3	Undirected
NR1I3	RXRA	Undirected
Rhob	Diap1	Undirected
COMTD1	COMTD1	Undirected
Kcnj12	Lin7a	Undirected
Kcnj12	Cask	Undirected
Kcnj12	Dlgh1	Undirected
RNASE2	RNH1	Undirected
RRAGA	RRAGD	Undirected
RRAGA	RRAGC	Undirected
NGB	FLOT1	Undirected
Trappc3	Trappc3	Undirected
PAPSS1	PAPSS1	Undirected
C11orf30	C11orf30	Undirected
ENO2	ENO2	Undirected
CEBPG	DBP	Undirected
CEBPG	MAFK	Undirected
CEBPG	HLF	Undirected
CEBPG	BATF	Undirected
CEBPG	FOSL2	Undirected
CEBPG	CREB3	Undirected
CEBPG	CREB3L3	Undirected
CEBPG	CREB3L1	Undirected
CEBPG	NFIL3	Undirected
CEBPG	CEBPA	Undirected
CEBPG	FOS	Undirected
CEBPG	CEBPE	Undirected
CEBPG	ATF2	Undirected
CEBPG	DDIT3	Undirected
CEBPG	ATF7	Undirected
CEBPG	CEBPD	Undirected
CEBPG	ATF3	Undirected
CEBPG	ATF4	Undirected
CEBPG	FOSL1	Undirected
CEBPG	CREB3L4	Undirected
CEBPG	TEF	Undirected
CEBPG	ATF5	Undirected
PPP2R1B	PPP2CA	Undirected
Wrn	Wrnip1	Undirected
Gfi1	Pias3	Undirected
Pes1	Bop1	Undirected
Card11	BCL10	Undirected
GSTA3	GSTA3	Undirected
CD3D	CD3E	Undirected
Tiam2	RAC1	Undirected
Epn1	Cltc	Undirected
Wnk1	Syt9	Undirected
Wnk1	Syt2	Undirected
Wnk1	Syt3	Undirected
Wnk1	Syt1	Undirected
IQGAP2	HAX1	Undirected
MAPK8IP1	APP	Undirected
MAPK8IP1	Rgnef	Undirected
Arl6ip1	Arl6	Undirected
HIPK3	LIMK2	Undirected
HIPK3	GORASP1	Undirected
HIPK3	SIAH2	Undirected
HIPK3	MTMR4	Undirected
HIPK3	TOX4	Undirected
HIPK3	NR2F2	Undirected
HIPK3	ZYX	Undirected
HIPK3	ZNF107	Undirected
HIPK3	SIAH1	Undirected
HIPK3	LIMS2	Undirected
HIPK3	LIMD1	Undirected
HIPK3	C1QA	Undirected
HIPK3	ARRB2	Undirected
HIPK3	TGFB1I1	Undirected
HIPK3	HEYL	Undirected
HIPK3	MBD1	Undirected
Rph3al	Zyx	Undirected
Tcfap2e	Tcfap2e	Undirected
DNMT3L	DNMT3B	Undirected
DNMT3L	DNMT3A	Undirected
POP1	POP4	Undirected
POP1	POP1	Undirected
POP1	RPP38	Undirected
POP1	RPPH1	Undirected
RPP38	RPPH1	Undirected
HK2	ZBTB17	Undirected
HK2	PTGDS	Undirected
TXN2	TXN2	Undirected
Serpinb1b	Ctsg	Undirected
DSN1	CBX3	Undirected
DSN1	ZWINT	Undirected
DSN1	CBX5	Undirected
DSN1	NSL1	Undirected
REST	EHMT2	Undirected
ITGB1BP1	NME2	Undirected
Ncoa6	Thrb	Undirected
Ncoa6	Esr1	Undirected
Ncoa6	Esr2	Undirected
Ncoa6	Pparg	Undirected
Aatf	Tsg101	Undirected
Hnrnpd	Tnf	Undirected
ME1	ME1	Undirected
CREB3L3	CREB3L3	Undirected
CREB3L3	NFIL3	Undirected
CREB3L3	CREB3L4	Undirected
ZNF174	ZNF174	Undirected
TPSAB1	TPSAB1	Undirected
FASN	FASN	Undirected
CAMTA1	CAMTA1	Undirected
UBA3	UBE2M	Undirected
UBA3	NAE1	Undirected
Rgs13	GNAQ	Undirected
Rgs13	GNAI2	Undirected
DAG1	LARGE	Undirected
DAG1	LAMA2	Undirected
Hspb2	Hspb3	Undirected
ERC1	NFKBIA	Undirected
Map2k2	Mknk2	Undirected
Map2k2	Mknk1	Undirected
SENP8	SENP8	Undirected
Htr2a	Mpp3	Undirected
Htr2a	Inadl	Undirected
CSRP2	PIAS1	Undirected
Tial1	Tnf	Undirected
SF3A3	SF3A1	Undirected
IL1A	HAX1	Undirected
P4ha2	P4HB	Undirected
RABEP1	RABEP1	Undirected
RABEP1	RAB5A	Undirected
RABEP1	GGA1	Undirected
